schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
29QBBE,"137-25 BROOKVILLE BOULEVARD, QUEENS, NY 11422",queens,11422,137-25,BROOKVILLE BOULEVARD,40.669148,-73.736429,1057367.0,183175.0,413.0
29QBBP,"228-23 MERRICK BOULEVARD, QUEENS, NY 11413",queens,11413,228-23,MERRICK BOULEVARD,40.676613,-73.741926,1055834.0,185890.0,413.0
29QBBU,"112-18 SPRINGFIELD BLVD, QUEENS, NY 11429",queens,11429,112-18,SPRINGFIELD BLVD,40.705009,-73.739937,1056355.0,196237.0,413.0
29QBCQ,"197-25 HILLSIDE AVENUE, QUEENS, NY 11423",queens,11423,197-25,HILLSIDE AVENUE,40.718534,-73.765104,1049364.0,201145.0,408.0
29QBEZ,"216-02 137 AVENUE, QUEENS, NY 11413",queens,11413,216-02,137 AVENUE,40.676499,-73.755103,1052179.0,185838.0,413.0
29QBII,"178-36 WEXFORD TERRACE, QUEENS, NY 11432",queens,11432,178-36,WEXFORD TERRACE,40.713508,-73.784561,1043975.0,199300.0,408.0
29QBIO,"245-35 NEWHALL AVE, QUEENS, NY 11422",queens,11422,245-35,NEWHALL AVE,40.658031,-73.73972,1056466.0,179122.0,413.0
29QBIX,"201-02 LINDEN BOULEVARD, QUEENS, NY 11412",queens,11412,201-02,LINDEN BOULEVARD,40.694629,-73.751568,1053141.0,192446.0,412.0
29QBIY,"217-21 MERRICK BOULEVARD, QUEENS, NY 11413",queens,11413,217-21,MERRICK BOULEVARD,40.679719,-73.751418,1053198.0,187014.0,413.0
29QBQO,"194-06 100TH AVE, QUEENS, NY 11423",queens,11423,194-06,100TH AVE,40.709294,-73.764639,1049502.0,197779.0,412.0
29QBRJ,"138-06 229 STREET, QUEENS, NY 11413",queens,11413,138-06,229 STREET,40.671099,-73.744582,1055103.0,183879.0,413.0
29QBRK,"173-54 104TH AVENUE, QUEENS, NY 11433",queens,11433,173-54,104TH AVENUE,40.703441,-73.783573,1044258.0,195633.0,412.0
29QBRP,"141-35 185TH STREET, QUEENS, NY 11413",queens,11413,141-35,185TH STREET,40.670411,-73.758889,1051135.0,183617.0,412.0
29QBSA,"11407 197TH STREET, QUEENS, NY 11412",queens,11412,11407,197TH STREET,40.698923,-73.757167,1051584.0,194006.0,412.0
29QBSB,"110-32 199TH STREET, QUEENS, NY 11412",queens,11412,110-32,199TH STREET,40.705323,-73.758088,1051322.0,196337.0,412.0
29QBSD,"19423 112TH AVENUE, QUEENS, NY 11412",queens,11412,19423,112TH AVENUE,40.701297,-73.761342,1050424.0,194868.0,412.0
29QBSF,"227-46 113TH AVE, QUEENS, NY 11429",queens,11429,227-46,113TH AVE,40.703822,-73.729911,1059136.0,195813.0,413.0
29QBSI,"118-40 202ND STREET, QUEENS, NY 11412",queens,11412,118-40,202ND STREET,40.693328,-73.749178,1053805.0,191974.0,412.0
29QBSN,"120-48 234 STREET, QUEENS, NY 11411",queens,11411,120-48,234 STREET,40.685717,-73.730897,1058883.0,189216.0,413.0
29QBSO,"11914 235TH ST, QUEENS, NY 11411",queens,11411,11914,235TH ST,40.68748,-73.728975,1059414.0,189860.0,413.0
29QBSQ,"143-20 253RD STREET, QUEENS, NY 11422",queens,11422,143-20,253RD STREET,40.659124,-73.735001,1057774.0,179524.0,413.0
29QBSR,"13703 255TH STREET, QUEENS, NY 11422",queens,11422,13703,255TH STREET,40.66105,-73.72772,1059792.0,180232.0,413.0
29QBSX,"194-12 116TH AVE., QUEENS, NY 11412",queens,11412,194-12,116TH AVE.,40.694525,-73.758319,1051269.0,192403.0,412.0
29QBTR,"196-15 122ND AVE, QUEENS, NY 11413",queens,11413,196-15,122ND AVE,40.686996,-73.751679,1053118.0,189665.0,412.0
29QBTZ,"218-27 141ST AVENUE, QUEENS, NY 11413",queens,11413,218-27,141ST AVENUE,40.671472,-73.755846,1051978.0,184006.0,413.0
29QBUA,"241-02 141ST AVE, QUEENS, NY 11422",queens,11422,241-02,141ST AVE,40.663954,-73.738237,1056871.0,181281.0,413.0
29QBYA,"122-40 FARMERS BLVD, QUEENS, NY 11434",queens,11434,122-40,FARMERS BLVD,40.682626,-73.760673,1050628.0,188066.0,412.0
29QBYL,"210-02 HILLSIDE AVENUE, QUEENS, NY 11427",queens,11427,210-02,HILLSIDE AVENUE,40.723174,-73.756411,1051769.0,202842.0,413.0
29QBZC,"116-27 MEXICO STREET, QUEENS, NY 11412",queens,11412,116-27,MEXICO STREET,40.69312,-73.763798,1049751.0,191887.0,412.0
