schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
23K599,"251 Mac Dougal Street, Brooklyn, NY 11233",brooklyn,11233,251,Mac Dougal Street,40.680318,-73.910644,1009034,0187147,316
23KAWX,"280 Livonia Avenue, Brooklyn, NY 11212",brooklyn,11212,280,Livonia Avenue,40.662765,-73.907449,1009927,0180753,316
23KBAZ,"232 Powell Street, Brooklyn, NY 11212",brooklyn,11212,232,Powell Street,40.668946,-73.903789,1010940,0183006,316
23KBFC,"33 Somers Street, Brooklyn, NY 11233",brooklyn,11233,33,Somers Street,40.678664,-73.912016,1008654,0186544,316
23KBJL,"774 Saratoga Avenue, Brooklyn, NY 11212",brooklyn,11212,774,Saratoga Avenue,40.661915,-73.915578,1007672,0180441,316
23KBJU,"265 Sumpter Street, Brooklyn, NY 11233",brooklyn,11233,265,Sumpter Street,40.680601,-73.914761,1007892,0187249,316
23KBJW,"1592 East New York Avenue, Brooklyn, NY 11212",brooklyn,11212,1592,East New York Avenue,40.6729,-73.909345,1009397,0184445,316
23KBJZ,"69 Saratoga Avenue, Brooklyn, NY 11233",brooklyn,11233,69,Saratoga Avenue,40.684487,-73.917493,1007133,0188664,316
23KBRT,"280 RIVERDALE AVENUE, BROOKLYN, NY 11212",brooklyn,11212,280,RIVERDALE AVENUE,40.661364,-73.906124,1010295,0180243,316
23KBYM,"20 Sutter Avenue, Brooklyn, NY 11212",brooklyn,11212,20,Sutter Avenue,40.665361,-73.922177,1005840,0181695,316
23KCFA,"225 Newport Street, Brooklyn, NY 11212",brooklyn,11212,225,Newport Street,40.65969,-73.906761,1010119,0179633,316
23KCGN,"774 Saratoga Avenue, Brooklyn, NY 11212",brooklyn,11212,774,Saratoga Avenue,40.661915,-73.915578,1007672,0180441,316
23KCOE,"1163 Lenox Road, Brooklyn, NY 11212",brooklyn,11212,1163,Lenox Road,40.659904,-73.917664,1007094,0179708,317
24Q007,"80-55 Cornish Avenue, Queens, NY 11373",queens,11373,80-55,Cornish Avenue,40.739115,-73.882487,1016815,0208578,404
24Q012,"42-00 72 Street, Queens, NY 11377",queens,11377,42-00,72 Street,40.742633,-73.892805,1013954,0209856,402
24Q013,"55-01 94 Street, Queens, NY 11373",queens,11373,55-01,94 Street,40.737613,-73.86851,1020689,0208036,404
